Wavelength [um]	   Norm. Transmission [%]
9.939	     0.031297
9.940	     0.031604
9.941	     0.031915
9.942	     0.032230
9.943	     0.032547
9.944	     0.032869
9.945	     0.033193
9.946	     0.033521
9.947	     0.033852
9.948	     0.034187
9.949	     0.034524
9.950	     0.034865
9.951	     0.035209
9.952	     0.035556
9.953	     0.035905
9.954	     0.036257
9.955	     0.036613
9.956	     0.036973
9.957	     0.037337
9.958	     0.037705
9.959	     0.038077
9.960	     0.038455
9.961	     0.038838
9.962	     0.039225
9.963	     0.039616
9.964	     0.040012
9.965	     0.040412
9.966	     0.040816
9.967	     0.041225
9.968	     0.041637
9.969	     0.042054
9.970	     0.042475
9.971	     0.042899
9.972	     0.043326
9.973	     0.043757
9.974	     0.044192
9.975	     0.044631
9.976	     0.045075
9.977	     0.045524
9.978	     0.045979
9.979	     0.046440
9.980	     0.046907
9.981	     0.047381
9.982	     0.047860
9.983	     0.048345
9.984	     0.048836
9.985	     0.049332
9.986	     0.049833
9.987	     0.050340
9.988	     0.050852
9.989	     0.051369
9.990	     0.051891
9.991	     0.052418
9.992	     0.052950
9.993	     0.053486
9.994	     0.054027
9.995	     0.054574
9.996	     0.055127
9.997	     0.055686
9.998	     0.056252
9.999	     0.056824
10.000	     0.057404
10.001	     0.057991
10.002	     0.058585
10.003	     0.059185
10.004	     0.059792
10.005	     0.060406
10.006	     0.061025
10.007	     0.061651
10.008	     0.062283
10.009	     0.062920
10.010	     0.063564
10.011	     0.064212
10.012	     0.064866
10.013	     0.065524
10.014	     0.066189
10.015	     0.066860
10.016	     0.067538
10.017	     0.068223
10.018	     0.068916
10.019	     0.069618
10.020	     0.070329
10.021	     0.071049
10.022	     0.071776
10.023	     0.072510
10.024	     0.073252
10.025	     0.074002
10.026	     0.074761
10.027	     0.075527
10.028	     0.076302
10.029	     0.077085
10.030	     0.077876
10.031	     0.078676
10.032	     0.079482
10.033	     0.080296
10.034	     0.081117
10.035	     0.081947
10.036	     0.082786
10.037	     0.083636
10.038	     0.084495
10.039	     0.085366
10.040	     0.086248
10.041	     0.087141
10.042	     0.088045
10.043	     0.088959
10.044	     0.089882
10.045	     0.090817
10.046	     0.091761
10.047	     0.092716
10.048	     0.093682
10.049	     0.094658
10.050	     0.095646
10.051	     0.096643
10.052	     0.097650
10.053	     0.098667
10.054	     0.099695
10.055	     0.100733
10.056	     0.101782
10.057	     0.102843
10.058	     0.103916
10.059	     0.105001
10.060	     0.106099
10.061	     0.107211
10.062	     0.108334
10.063	     0.109470
10.064	     0.110617
10.065	     0.111777
10.066	     0.112948
10.067	     0.114132
10.068	     0.115328
10.069	     0.116537
10.070	     0.117758
10.071	     0.118991
10.072	     0.120236
10.073	     0.121492
10.074	     0.122761
10.075	     0.124041
10.076	     0.125335
10.077	     0.126641
10.078	     0.127961
10.079	     0.129296
10.080	     0.130645
10.081	     0.132009
10.082	     0.133386
10.083	     0.134776
10.084	     0.136179
10.085	     0.137597
10.086	     0.139028
10.087	     0.140474
10.088	     0.141934
10.089	     0.143409
10.090	     0.144900
10.091	     0.146406
10.092	     0.147927
10.093	     0.149461
10.094	     0.151009
10.095	     0.152572
10.096	     0.154150
10.097	     0.155743
10.098	     0.157353
10.099	     0.158979
10.100	     0.160622
10.101	     0.162283
10.102	     0.163960
10.103	     0.165653
10.104	     0.167362
10.105	     0.169088
10.106	     0.170829
10.107	     0.172588
10.108	     0.174363
10.109	     0.176156
10.110	     0.177966
10.111	     0.179795
10.112	     0.181640
10.113	     0.183502
10.114	     0.185382
10.115	     0.187278
10.116	     0.189191
10.117	     0.191122
10.118	     0.193070
10.119	     0.195037
10.120	     0.197022
10.121	     0.199025
10.122	     0.201047
10.123	     0.203086
10.124	     0.205143
10.125	     0.207217
10.126	     0.209310
10.127	     0.211421
10.128	     0.213550
10.129	     0.215698
10.130	     0.217865
10.131	     0.220052
10.132	     0.222258
10.133	     0.224482
10.134	     0.226725
10.135	     0.228987
10.136	     0.231267
10.137	     0.233566
10.138	     0.235885
10.139	     0.238223
10.140	     0.240580
10.141	     0.242958
10.142	     0.245356
10.143	     0.247773
10.144	     0.250210
10.145	     0.252666
10.146	     0.255141
10.147	     0.257636
10.148	     0.260151
10.149	     0.262686
10.150	     0.265240
10.151	     0.267815
10.152	     0.270410
10.153	     0.273025
10.154	     0.275660
10.155	     0.278315
10.156	     0.280991
10.157	     0.283686
10.158	     0.286401
10.159	     0.289135
10.160	     0.291888
10.161	     0.294661
10.162	     0.297452
10.163	     0.300261
10.164	     0.303090
10.165	     0.305939
10.166	     0.308806
10.167	     0.311693
10.168	     0.314599
10.169	     0.317523
10.170	     0.320466
10.171	     0.323426
10.172	     0.326405
10.173	     0.329402
10.174	     0.332417
10.175	     0.335452
10.176	     0.338505
10.177	     0.341576
10.178	     0.344666
10.179	     0.347773
10.180	     0.350898
10.181	     0.354039
10.182	     0.357197
10.183	     0.360371
10.184	     0.363562
10.185	     0.366770
10.186	     0.369996
10.187	     0.373239
10.188	     0.376498
10.189	     0.379775
10.190	     0.383067
10.191	     0.386375
10.192	     0.389698
10.193	     0.393036
10.194	     0.396389
10.195	     0.399758
10.196	     0.403145
10.197	     0.406547
10.198	     0.409966
10.199	     0.413399
10.200	     0.416847
10.201	     0.420308
10.202	     0.423781
10.203	     0.427267
10.204	     0.430764
10.205	     0.434275
10.206	     0.437800
10.207	     0.441340
10.208	     0.444893
10.209	     0.448459
10.210	     0.452037
10.211	     0.455625
10.212	     0.459223
10.213	     0.462830
10.214	     0.466446
10.215	     0.470069
10.216	     0.473705
10.217	     0.477352
10.218	     0.481011
10.219	     0.484680
10.220	     0.488357
10.221	     0.492041
10.222	     0.495733
10.223	     0.499429
10.224	     0.503129
10.225	     0.506833
10.226	     0.510543
10.227	     0.514261
10.228	     0.517988
10.229	     0.521721
10.230	     0.525458
10.231	     0.529200
10.232	     0.532945
10.233	     0.536690
10.234	     0.540436
10.235	     0.544181
10.236	     0.547925
10.237	     0.551672
10.238	     0.555424
10.239	     0.559178
10.240	     0.562933
10.241	     0.566689
10.242	     0.570443
10.243	     0.574195
10.244	     0.577944
10.245	     0.581689
10.246	     0.585427
10.247	     0.589164
10.248	     0.592902
10.249	     0.596638
10.250	     0.600372
10.251	     0.604103
10.252	     0.607829
10.253	     0.611549
10.254	     0.615263
10.255	     0.618968
10.256	     0.622663
10.257	     0.626349
10.258	     0.630031
10.259	     0.633707
10.260	     0.637377
10.261	     0.641041
10.262	     0.644696
10.263	     0.648343
10.264	     0.651979
10.265	     0.655605
10.266	     0.659218
10.267	     0.662819
10.268	     0.666410
10.269	     0.669993
10.270	     0.673568
10.271	     0.677133
10.272	     0.680687
10.273	     0.684229
10.274	     0.687758
10.275	     0.691272
10.276	     0.694771
10.277	     0.698254
10.278	     0.701719
10.279	     0.705172
10.280	     0.708612
10.281	     0.712038
10.282	     0.715450
10.283	     0.718847
10.284	     0.722229
10.285	     0.725594
10.286	     0.728942
10.287	     0.732272
10.288	     0.735584
10.289	     0.738879
10.290	     0.742160
10.291	     0.745425
10.292	     0.748674
10.293	     0.751906
10.294	     0.755121
10.295	     0.758316
10.296	     0.761492
10.297	     0.764647
10.298	     0.767782
10.299	     0.770894
10.300	     0.773987
10.301	     0.777062
10.302	     0.780117
10.303	     0.783153
10.304	     0.786169
10.305	     0.789165
10.306	     0.792140
10.307	     0.795093
10.308	     0.798025
10.309	     0.800934
10.310	     0.803823
10.311	     0.806691
10.312	     0.809540
10.313	     0.812369
10.314	     0.815176
10.315	     0.817961
10.316	     0.820724
10.317	     0.823463
10.318	     0.826179
10.319	     0.828870
10.320	     0.831536
10.321	     0.834177
10.322	     0.836796
10.323	     0.839391
10.324	     0.841964
10.325	     0.844512
10.326	     0.847037
10.327	     0.849539
10.328	     0.852016
10.329	     0.854469
10.330	     0.856898
10.331	     0.859303
10.332	     0.861685
10.333	     0.864043
10.334	     0.866377
10.335	     0.868688
10.336	     0.870975
10.337	     0.873237
10.338	     0.875476
10.339	     0.877689
10.340	     0.879878
10.341	     0.882042
10.342	     0.884180
10.343	     0.886294
10.344	     0.888383
10.345	     0.890447
10.346	     0.892487
10.347	     0.894502
10.348	     0.896494
10.349	     0.898462
10.350	     0.900406
10.351	     0.902327
10.352	     0.904226
10.353	     0.906101
10.354	     0.907952
10.355	     0.909779
10.356	     0.911583
10.357	     0.913363
10.358	     0.915120
10.359	     0.916854
10.360	     0.918565
10.361	     0.920253
10.362	     0.921918
10.363	     0.923559
10.364	     0.925177
10.365	     0.926771
10.366	     0.928342
10.367	     0.929889
10.368	     0.931414
10.369	     0.932916
10.370	     0.934396
10.371	     0.935855
10.372	     0.937293
10.373	     0.938711
10.374	     0.940107
10.375	     0.941482
10.376	     0.942834
10.377	     0.944164
10.378	     0.945472
10.379	     0.946760
10.380	     0.948027
10.381	     0.949275
10.382	     0.950502
10.383	     0.951711
10.384	     0.952901
10.385	     0.954071
10.386	     0.955221
10.387	     0.956350
